,name,link,rating,about,address,смешанная,европейская,check,rating_inside,живая музыка,шоу-программа,русская,детское меню,завтрак,бизнес-ланч,при отеле,летняя терраса,настольные игры,десерты,рыба и морепродукты,детская комната,ресторан у воды,парковка,стейки,спортивные трансляции,кулинарные мастер-классы,камин,коктейли,dj,стриптиз,кабинки,вегетарианская,за городом,панорамный вид,заказ кейтеринга,крафтовое пиво,доставка,авторская,торты на заказ,кальян,закуски,средиземноморская,стритфуд,азиатская,здесь танцуют,итальянская,суши,караоке,сладости,восточная,японская,боулы,рамен,пицца,бильярд,чешская,вегетарианские блюда,немецкая,боулинг,украинская,блины,советская,китайская,бургеры,грузинская,своя пивоварня,бранч,французская,кавказская,армянская,шашлыки,индийская,азербайджанская,детские мастер-классы,устрицы,крабы,американская,мексиканская,латиноамериканская,блюда из дичи,еврейская,шаверма,корейская,можно с животными,сербская,гастрономические сеты,бельгийская,греческая,пышки,скандинавская,испанская,перуанская,шотландская,узбекская,турецкая,португальская,тайская,вьетнамская,английская,ирландская,фьюжн,абхазская,норвежская,африканская,австрийская,татарская,бурятская,ливанская,здесь живут котики,арабская,кубинская,финская,латышская,lat,lng,in_this_house
0,Maestro,/spb/place/maestro-1,10.0,банкетный зал,пр. Луначарского 60,1.0,1.0,"    1000  (без напитков)
",10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"60.041867,",30.34023,"стоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валютыстоматологическая клиника,косметология,аптека,электросчетчики,водосчётчики, газосчётчики, теплосчётчики,кафе,бар, паб,банк,обмен валюты"
1,Event Loft,/spb/place/event-loft,10.0,Банкетный лофт с панорамной террасой на крыше,наб. реки Фонтанки 59,0.0,1.0,"    2500  (без напитков)
",10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"59.927757,",30.332271000000002,"бизнес-центр,ресторан,музыкальный клуб,редакция сми,издательские услуги,фитнес-клуб,спортивный, тренажёрный зал,кофейня,бар безалкогольных напитковбизнес-центр,ресторан,музыкальный клуб,редакция сми,издательские услуги,фитнес-клуб,спортивный, тренажёрный зал,кофейня,бар безалкогольных напитковбизнес-центр,ресторан,музыкальный клуб,редакция сми,издательские услуги,фитнес-клуб,спортивный, тренажёрный зал,кофейня,бар безалкогольных напитковбизнес-центр,ресторан,музыкальный клуб,редакция сми,издательские услуги,фитнес-клуб,спортивный, тренажёрный зал,кофейня,бар безалкогольных напитковбизнес-центр,ресторан,музыкальный клуб,редакция сми,издательские услуги,фитнес-клуб,спортивный, тренажёрный зал,кофейня,бар безалкогольных напитковбизнес-центр,ресторан,музыкальный клуб,редакция сми,издательские услуги,фитнес-клуб,спортивный, тренажёрный зал,кофейня,бар безалкогольных напитков"
2,Оккервиль,/spb/place/okkervil-1,10.0,Демократичное кафе с универсальным меню в Кудрово,ул. Областная 2,1.0,0.0,"    900  (без напитков)
",10.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"59.915098,",30.50367,"автомойка,шиномонтаж,диетические и диабетические продукты,агентство недвижимости,шиномонтаж,шины и диски,автосервис, автотехцентр,автомойкаавтомойка,шиномонтаж,диетические и диабетические продукты,агентство недвижимости,шиномонтаж,шины и диски,автосервис, автотехцентр,автомойкаавтомойка,шиномонтаж,диетические и диабетические продукты,агентство недвижимости,шиномонтаж,шины и диски,автосервис, автотехцентр,автомойка"
3,Французский дворик,/spb/place/red-stars,10.0,Ресторан и банкетная площадка на территории дизайнерского отеля Red Stars,наб. реки Пряжки 30,0.0,1.0,"    1350  (без напитков)
",10.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"59.922792,",30.282002000000002,"ресторан,бар, паб,кровля и кровельные материалы,бар, паб,ресторан,ресторан,банкетный зал,ресторан,бар, пабресторан,бар, паб,кровля и кровельные материалы,бар, паб,ресторан,ресторан,банкетный зал,ресторан,бар, паб"
4,River,/spb/place/river,10.0,Европейский ресторан от холдинга TAO Group на Петровском проспекте,пр. Петровский 5,1.0,1.0,"    1900  (без напитков)
",10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"59.959233,",30.272209999999998,"жилой комплекс,детский сад,соляная пещера,магазин цветов,магазин подарков и сувениров,организация и проведение детских праздников,апартаменты"
5,Атриум-Холл,/spb/place/atrium-holl,10.0,Банкетный зал в стиле лофт на набережной,наб. Английская 70,1.0,1.0,"    3000  (без напитков)
",10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"59.931513,",30.28422,"бизнес-центр,агентство недвижимости,достопримечательность,программное обеспечение,студия веб-дизайна,банкетный зал,кейтеринг"
6,Fleet Street,/spb/place/fleet-street,10.0,Гастропаб со спортивными трансляциями и универсальным меню,ул. Бутлерова 11/4,0.0,1.0,"    1000  (без напитков)
",10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"60.006246,",30.40287,"салон красоты,ногтевая студия,фитнес-клуб,массажный салон,спортивная одежда и обувь,оптовый магазин,аптека,медицинское оборудование, медтехника,магазин смешанных товаров,строительный магазин"
7,Food Loft,/spb/place/food-loft,10.0,Кулинарное пространство для проведения различных мероприятий,"ул. Беринга 23, корп.2",1.0,0.0,"    1500  (без напитков)
",10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"59.945562,",30.24023900000001,"гостиница,учебный центр,дополнительное образование,магазин галантереи и аксессуаров,магазин сумок и чемоданов,стоматологическая клиника,металлоконструкции,трубы и трубопроводная арматура"
8,Laudes,/spb/place/laudes,10.0,Банкетный зал на Разъезжей улице,ул. Разъезжая 3,0.0,1.0,"    1500  (без напитков)
",10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"59.925606,",30.343231,"массажный салон,косметология,магазин продуктов,банкетный зал,ресторан,хостел,гостиница,бар, паб,спортбар"
9,Эндорфин,/spb/place/jendorfin,10.0,Бар с танцевальными вечеринками на Большой Конюшенной улице,ул. Большая Конюшенная 2,0.0,1.0,"    1500  (без напитков)
",10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"59.939555,",30.32433,"банк,денежные переводы,пиццерия,ресторан,гостиница,бар, паб,бар, паб,магазин алкогольных напитков"
