,address,features,lat,link,lng,name,rating_yandex,review_count,reviews
0,пр. Луначарского 60,"Посмотреть всё меню|До закрытия 7 мин|Нет информации
Добавить|просп. Луначарского, 60, корп. 1|Забронировать столик|Соцсети:|Озерки
1,4 км
2|Детская музыкальная школа
29 м
4|Исправить неточность|1000 ₽|Бесплатный Wi-Fi|Оплата картой|Бизнес-ланч, кофе с собой, спортивные трансляции|Кухня: грузинская, европейская, кавказская|Специальное меню: сезонное, гриль, детское","60.041867,",,30.34023,Кафе-бар Белые ночи,4.2,28,"Забегаловка . Но вечером может быть весело|Хорошая кафешка, рядом с домом, можно перекусить и посидеть неплохо.|Готовят не вкусно|Ребенку понравилось. Мне тоже. Мороженое там вкусное|В хинкали добавили волос. До сих пор трясёт."
1,наб. реки Фонтанки 59,"Посмотреть всё меню|Закрыто до 14:00|+7 (812) 604-50-11
Показать телефон|наб. реки Фонтанки, 59, 1 этаж|Забронировать столик|whitenight.spb.ru|Соцсети:|Звенигородская
790 м
2|Набережная реки Фонтанки
400 м
4|Расписание на Яндекс.Афише|Исправить неточность|Владелец следит за актуальностью информации|1000–1100 ₽|Оплата картой|Бизнес-ланч, завтрак|Кухня: европейская, итальянская, русская|Специальное меню: сезонное, блинное, гриль","59.927757,",,30.332271000000002,White Night Music Joint,4.1,105,"Хорошая кухня, адекватные цены, джаз. Но интерьер и рассадка оставляют желать лучшего. Очень душно и жарко!|Шикарное место. Замечательные официанты. Шикарная музыка. Уютные залы. Хорошие цены!!!! Приходите сюда!!!!!|Пошли в этот ресторан с коллегами послушать хорошую музыку (на конкретных артистов шли). С музыкой все прекрасно. Было громковато, в силу... ещё|Вроде бы очень приличное заведение, после ребрендинга было вкусное меню и хорошие бизнес-ланчи, но со временем еда и меню сильно испортились это заметно по... ещё|Заказали столик на субботу вечер 3.08.19, девушка администратор была очень милой, в субботу даже позвонили сообщили,что проблемы с терминалом и просят иметь... ещё"
2,наб. реки Фонтанки 59,"Посмотреть всё меню|Закрыто до 9:00|+7 (981) 846-23-93
Показать телефон|наб. реки Фонтанки, 59|Соцсети:|Звенигородская
840 м
2|Набережная реки Фонтанки
450 м
4|Исправить неточность|170–200 ₽|Бесплатный Wi-Fi|Оплата картой|Кофе с собой|Цена чашки капучино: 120–180 ₽|Цены: средние","59.927757,",,30.332271000000002,Kiosk59,4.4,69,"Ещё одна кофейня, которую нужно посетить любителям кофе, Здесь Вас порадует не только кофе, но и очень красивая глазурованная посуда, из... ещё|Дружелюбная кофейня, где варят вкусный кофе! 
Очень крутое предложение с ""кофе дня""|Супер место. Внезапно забежала перед выездом в Москву, удивилась что так повезло. Вкусный и не подгоревшей кофе, уютно и стильно, чисто, есть всякие... ещё|Отличное место, приятное обслуживание, вкусный кофе 😊 можно прийти со своей кружкой (будет скидка)👍 есть карта лояльности, не так давно добавили в меню... ещё|Очень уютное милое кафе. С приятным разнообразием кофе. Спасло нас при ожидании спектакля в БДТ"
3,наб. реки Пряжки 30,"Посмотреть всё меню|Закрыто до 7:00|+7 (812) 640-40-00
Показать телефон|наб. реки Пряжки, 30|Забронировать столик|red-stars-hotel.ru|Соцсети:|Садовая
2,3 км
2|Английский проспект
250 м
4|Исправить неточность|1500 ₽|Бесплатный Wi-Fi|Оплата картой|Бизнес-ланч, кофе с собой, летняя веранда|Кухня: грузинская, европейская, итальянская|Особенности заведения: меню на английском, барная стойка, закрытие под банкет","59.922792,",,30.282002000000002,Французский дворик,2.7,8,"Бар-кафе при гостинице КРАСНЫЕ ЗВЕЗДЫ. Вежливые девочки, но конский ценник."
4,наб. реки Пряжки 30,"До 50% на кухню|Посмотреть всё меню|Открыто до 6:00|+7 (812) 602-37-11
Показать телефон|Английский просп., 39|beerhousebar.ru|Соцсети:|Балтийская
1,9 км
2|Площадь Тургенева
98 м
4|Исправить неточность|Все филиалы сети|Владелец следит за актуальностью информации|700 ₽|Бесплатный Wi-Fi|Оплата картой|Доставка еды, бизнес-ланч, крафтовое пиво|Кухня: итальянская, ирландская, русская|Цена бокала пива: 185–285 ₽","59.922792,",,30.282002000000002,Beer House Staff,4.3,135,"Мой отзыв от 12.04.19
""Обслуживание так себе. Очень долгое. 1 час ждал бургеры!!! При том что народу было немного, и это было в воскресенье. 
В... ещё|Шикарное место, красивый интерьер, музыка 5 с плюсом, много интересных штук на стенах, которые можно долго разглядывать. Цены конечно да, но... ещё|Хорошее пиво и вкусные пивные закуски, приятная комфортная обстановка|Отличная кухня, отличное пиво!!! Персанал ультра пупер супер!!! Лайф хак: Скидки до 50% с 12 до 17 и 30% по приложению и картам гостя!!!! Попробуйте местную... ещё|Хоть и та же сеть, но каждый обладает своей атмосферой"
5,наб. реки Пряжки 30,"Дарим всем крутые подарки!|Открыто до 3:00|+7 (812) 926-80-83
Показать телефон|Вознесенский просп., 44-46|le-glamoure.ru|Соцсети:|Садовая
950 м
2|Садовая улица
190 м
4|Исправить неточность|Владелец следит за актуальностью информации|Кухня: европейская, русская|Количество мест: 200","59.922792,",,30.282002000000002,Le Glamour,4.3,60,"Благодарим ресторан Le Glamour за прекрасную организацию банкета нашей свадьбы. Обслуживание было на высшем уровне! Еда вкусная, официанты... ещё|Большое спасибо ресторану Гламур за наш свадебный банкет, проведённый в зале Лофт. Не буду расписывать подробно их красивый, огромный и светлый зал... ещё|место для банкетов|Уже десять лет празднуем там встречи с одноклассниками. Всегда все на высшем уровне! Рекомендую всем.|Хотим выразить огромную благодарность менеджеру ресторана Le Glamour Елене за организацию нашего свадебного торжества 24 июля. Начиная от выбора... ещё"
6,наб. реки Пряжки 30,"Посмотреть всё меню|До закрытия 6 мин|+7 (812) 905-51-35
Показать телефон|Большая Морская ул., 35|madeinchina-spb.ru|Соцсети:|Адмиралтейская
500 м
2|Исаакиевская площадь
80 м
4|Исправить неточность|Лучшие новые рестораны|Лучшие открытия 2017 года|Еще 2 подборки
2|900–1200 ₽|Бесплатный Wi-Fi|Оплата картой|Бизнес-ланч, доставка еды, кофе с собой|Кухня: китайская, корейская, тайская|Цена бокала пива: от 350 ₽","59.922792,",,30.282002000000002,Made In China,4.3,224,"Уютный ресторан в азиатском стиле.

Заведение двухэтажное, так что мест для посадки с достатком. Конечно, это компенсируется местоположением в... ещё|не понимаю, почему раньше было не прорваться, а теперь вечером субботы 3 стола. Качество блюд особо не изменилось, многие хиты на месте также. Интерьер... ещё|Был в субботу на позднем завтраке, сырники бомбические просто, таких вкусных я давно не ел.|Зашла сегодня на завтрак. яйцо на тосте с авокадо, сырники, чай, все очень вкусно, приветливый персонал. 
рекомендую|Место всегда с людьми, тусыч. По еде такая причесанная паназия. Кухня меняется. По мне все несколько упростилось со времен открытия."
7,ул. Разъезжая 3,"Закрыто до 12:00|+7 (905) 206-21-12
Показать телефон|Разъезжая ул., 3|Соцсети:|Достоевская
450 м
2|Пять углов
110 м
4|Исправить неточность|1500–3500 ₽|Оплата картой|Специальное меню: постное, детское, диетическое|Цены: высокие","59.925606,",,30.343231,Laudes,3.8,4,"Непонятное заведение которым владеет эфиоп. За 2 года после ремонта было 3-4 мероприятия и все. Вечером постоянно присутствует администратор, но ни... ещё|Был в этом новом зале на свадьбе друга. Прикольный зал с хорошим свежим ремонтом. Прям такой праздничный. Если б нас на свадьбе было не так много гостей... ещё"
8,ул. Разъезжая 3,"Закрыто до 12:00|+7 (812) 949-11-50
Показать телефон|Разъезжая ул., 3|Забронировать столик|Соцсети:|Достоевская
450 м
2|Пять углов
110 м
4|Исправить неточность|Владелец следит за актуальностью информации|Бесплатный Wi-Fi|Оплата картой|Бизнес-ланч, проектор, спортивные трансляции|Кухня: авторская, английская, мясная|Особенности заведения: меню на английском, настольные игры, барная стойка","59.925606,",,30.343231,Brewmen & Redman's Kitchen,4.3,21,"К сожалению, стейк был очень жестким, брала прожарку медиум. Некоторых позиций из меню не было. Разливное пиво вкусное. Возможно, вернёмся, чтобы... ещё|очень много холодного крафта на кранах!|Вкусная еда с ресторанной подачей, свое пиво. По четвергам вечером можно попрактиковаться в разговорном английском с носителем.|Меню не очень обширно в еде. Пиво однообразное. Интерьер отличный|Лучшее пиво. Особенно пиво ножеманов Найфер"
9,ул. Большая Конюшенная 2,"Посмотреть всё меню|Закрыто до 13:00|+7 (812) 200-93-85
Показать телефон|Большая Конюшенная ул., 2|pizza22cm.ru|Соцсети:|Невский проспект
650 м
2|Большая Конюшенная улица
450 м
4|Исправить неточность|Все филиалы сети|Где есть пиццу|Где есть, пить и танцевать в районе Конюшенной площади|Владелец следит за актуальностью информации|250–600 ₽|Бесплатный Wi-Fi|Оплата картой|Бизнес-ланч|Кухня: европейская, итальянская|Особенности заведения: меню на английском, барная стойка","59.939555,",,30.32433,Пицца 22 сантиметра,4.4,411,"Пицца на 3+. Подгорелая снизу корочка не понравилось вообще. Заказали салат с рукколой, он был вкусный(5 баллов). Пицца не стоит своих денег. Принесли все... ещё|Зашли с мужем, оба в восторге! Пицца Дьяволо со свежим халапеньо и Пепперони - обе выше всяких похвал! Свежие, сочные, вкусные! Обязательно придём ещё|Цены завышены, обслуживание отличается отсутствием элементарных начал вежливости и внимания. Изначально как то не задалось с размещением, официант... ещё|уникальное место с очень вкусной и необычной пиццей|Пицца отличная, готовят быстро, обслуживание отвратительное-не понравилась работа официанток, или им пофигу или просто устали к концу дня... ещё"
10,ул. Большая Конюшенная 2,"Посмотреть всё меню|Открыто до 4:00|Нет информации
Добавить|Большая Конюшенная ул., 2, этаж цокольный|Соцсети:|Невский проспект
720 м
2|Большая Конюшенная улица
530 м
4|Исправить неточность|Кухни и блюда: Рыба, Паб","59.939555,",,30.32433,JoJo Bar,4.4,24,
11,ул. Большая Конюшенная 2,"Посмотреть всё меню|Открыто до 3:00|+7 (812) 314-57-68
Показать телефон|Большая Конюшенная ул., 2, этаж -1|Забронировать столик|letourdevin.restoru.ru|Соцсети:|Невский проспект
670 м
2|Большая Конюшенная улица
480 м
4|Исправить неточность|Бесплатный Wi-Fi|Оплата картой|Кухня: европейская|Цена бокала пива: 350 ₽","59.939555,",,30.32433,Le Tour De Vin,3.2,18,"Отличное соотношение цена/качество особенно для такого расположения! Не ждите новой мебели, отсутствие народа! Приятный банщик, хорошая парная!|Замечательное и душевное место. Обязательно к посещению!!! Хозяева замечательная супружеская пара,общаешься с ними,как со старыми... ещё|Зашел в это заведение. Как его назвать не знаю: подвал, по культурному цокольный этаж. Торгуют якобы марочным вином и закусками, на деле самым дешевым, что... ещё|Вкуснейшая кухня, лучшие советы по выбору вина, не ограничивающиеся стандартной барной картой. Очень душевное и приятное место|Супер место. Хозяину спасибо."
12,ул. Садовая 83,"Посмотреть всё меню|Закрыто до 12:00|+7 (812) 713-07-77
Показать телефон|наб. реки Фонтанки, 130|Заказать доставку|Забронировать столик|www.art-afrika.ru|Соцсети:|Технологический институт-1
1 км
2|Измайловский проспект
390 м
4|Исправить неточность|400–500 ₽|Бесплатный Wi-Fi|Оплата картой|Бизнес-ланч, кофе с собой, завтрак|Кухня: грузинская, европейская, кавказская|Специальное меню: постное, сезонное, блинное","59.919432,",,30.292834999999997,Кафе Африка,4.6,214,"Отличное кафе, с виду не скажешь, что там так уютно внутри. Зашли случайно, на улице шёл дождь и вдруг захотелось согреться и перекусить. Порадовало... ещё|Бич вариант. Если вас не волнует, как и в каких условиях готовят и где вам сидеть, то вариант подходящий) Сытные ланчи, но всё оооочень старое, запахи, убитая... ещё|Отлично празднуем др в подушечном зале, еда вкусная, кальяны ароматные)|Уютное кафе, недорого. Приятный персонал. Вкусная еда. Быстро обслуживают. Хочется придти ещё|Хорошая разнообразная кухня, низкие цены, очень доброжелательный персонал. Интерьер простенький, но уютный. Иногда в одном из залов проходят концерты... ещё"
13,ул. Садовая 83,"Дарим всем крутые подарки!|Открыто до 3:00|+7 (812) 926-80-83
Показать телефон|Вознесенский просп., 44-46|le-glamoure.ru|Соцсети:|Садовая
950 м
2|Садовая улица
190 м
4|Исправить неточность|Владелец следит за актуальностью информации|Кухня: европейская, русская|Количество мест: 200","59.919432,",,30.292834999999997,Le Glamour,4.3,60,"Благодарим ресторан Le Glamour за прекрасную организацию банкета нашей свадьбы. Обслуживание было на высшем уровне! Еда вкусная, официанты... ещё|Большое спасибо ресторану Гламур за наш свадебный банкет, проведённый в зале Лофт. Не буду расписывать подробно их красивый, огромный и светлый зал... ещё|место для банкетов|Уже десять лет празднуем там встречи с одноклассниками. Всегда все на высшем уровне! Рекомендую всем.|Хотим выразить огромную благодарность менеджеру ресторана Le Glamour Елене за организацию нашего свадебного торжества 24 июля. Начиная от выбора... ещё"
14,ул. Марата 2,"До 50% на кухню|Посмотреть всё меню|Открыто до 6:00|+7 (812) 602-37-11
Показать телефон|ул. Марата, 2/73-75|Забронировать столик|beerhousebar.ru|Соцсети:|Маяковская
54 м
2|Станция метро Площадь Восстания
88 м
4|Исправить неточность|Все филиалы сети|Владелец следит за актуальностью информации|700 ₽|Бесплатный Wi-Fi|Оплата картой|Доставка еды, бизнес-ланч, спортивные трансляции|Кухня: европейская, русская, мясная|Цена бокала пива: 140–285 ₽","59.931242,",,30.355815999999997,Beer House,4.3,141,"забегала на днях в этот бар! какие же здесь колбаски! и кстати отличается от всей сети,тем что отделка золотым металом в интерьере использована.
планировка... ещё|Пивная карта есть в наличии не вся. Принесли счет, в который добавились блюда из незакрытого счета предыдущих гостей этого стола (как сказал официант... ещё|Приезжал в командировку и по традиции решил посетить паб. Случайным образом на карте выбрал этот, вроде ближе к центру и тд. Ну так вот, взял пиво какое-то за 350р... ещё|Я уже писала отзвыв))) ну ладно дублирую))) заведение удобное по расположению, покушали-пообщались и на вокзал))) атмосферное, уютное кафе... ещё|Отличный паб! Разнообразные сорта разливного бочкового пива, хорошая кухня, бармены только мужчины, обслуживают очень быстро, приветливы... ещё"
15,ул. Марата 2,"Посмотреть всё меню|Закрыто до 10:00|+7 (931) 339-31-35
Показать телефон|ул. Марата, 2/73-75|pitcherbar.ru|Соцсети:|Маяковская
49 м
2|Станция метро Площадь Восстания
83 м
4|Исправить неточность|Кофейни Петербурга, которые рекомендуют в иностранных гидах|Владелец следит за актуальностью информации|от 200 ₽|Бесплатный Wi-Fi|Оплата картой|Завтрак, кофе с собой|Цена чашки капучино: 120–170 ₽|Кухня: европейская","59.931242,",,30.355815999999997,Pitcher,4.2,104,"Милое душевное кафе. Сесть сложно, мест очень мало. Кофе хороший.|Приятная кофейня, очень небольшая|Одна из лучших кофейн👍🏻 Надо расширятся, выкупив место у цветочного магазина 😁|Маленькая уютная кофейня, есть десерты, отличный кофе и бонусная система|Отличный кофе за приемлемую цену. Намного больше места, чем на парке победы. Улыбки, Музыка, атмосфера. От кофейни ничего больше и не нужно... ещё"
16,ул. Лахтинская 9,"Посмотреть всё меню|Закрыто до 10:00|+7 (812) 946-43-66
Показать телефон|Лахтинская ул., 9, этаж 1|Забронировать столик|www.beautycafebar.ru|Соцсети:|Чкаловская
740 м
2|Улица Ленина
140 м
4|Исправить неточность|800–1200 ₽|Бесплатный Wi-Fi|Оплата картой|Бизнес-ланч, доставка еды, кофе с собой|Кухня: европейская, итальянская, фьюжн|Цены: выше среднего","59.962534,",,30.301278999999997,Beauty Bar & Kitchen,4.7,57,"Прекрасная кухня, чудо бармен Дима.
Хожу сюда постоянно на ланчи и коктейли. Всё улётно-замечательно|Отличное место. Название говорит само за себе. Красивые люди и вкусная еда здесь Вам обеспечены|Один из немногих тихих ресторанов на петроградке. Эстетично, спокойно, вкусно, приятно. 
Рекомендую|Шла по отзывам.Да, действительно, отличная кухня! Уютно и гармонично.Единственное, по моему мнению, завышены цены на... ещё|Отлично приготовленная еда, потрясающие коктейли, маст дринк на Петроградке."
17,пр. Старо-Петергофский 21 кор. 5,"Посмотреть всё меню|Закрыто до 11:00|+7 (812) 926-42-13
Показать телефон|Старо-Петергофский просп., 21, корп. 5|pominkivcafespb.ru|Нарвская
1,2 км
2|Старо-Петергофский проспект, 12
95 м
4|Исправить неточность|Владелец следит за актуальностью информации|700–2500 ₽|Бесплатный Wi-Fi|Кухня: русская|Особенности заведения: своя пекарня, закрытие под банкет","59.910420,",,30.275146999999997,Кафе или зал для поминок СПб,4.1,4,Спасибо за обед поминальный
18,ул. Стартовая 6 А,"Посмотреть всё меню|Закрыто до 6:00|Многоканальный
+7 (812) 240-42-00
Показать телефон|Стартовая ул., 6|Забронировать столик|cpairport.ru|Соцсети:|Звёздная
4,6 км|ТК Лента
520 м
3|Исправить неточность|Владелец следит за актуальностью информации|1150 ₽|Бесплатный Wi-Fi|Оплата картой|Кофе с собой, завтрак|Кухня: европейская, смешанная|Особенности заведения: закрытие под банкет","59.806342,",,30.315895,Sky Light,4.3,109,"Днём есть обеды в формате шведский стол за косарь с носа. Выбор блюд большой: горячее, салаты, закуски, десерты. Бухла нет. Оплачивать на входе.

Внутри... ещё|Жрачка обеденная, дорогая жрачка 700 рэ. С человэка!|Приятный интерьер, насыщенный завтрак. Большой выбор блюд. Завтрак - шведский стол.|В этом месте прекрасно все!
Очень красиво оформляют столы, 
Очень вкусно готовят.
Внимательный персонал!
Хорошие... ещё|Хороший номерной фонд
Большой выбор блюд шведского стола
Удобное расположение от аэропорта
Есть трансферы в город и... ещё"
19,ул. Рыбацкая 4,"Посмотреть всё меню|Закрыто до 12:00|+7 (812) 939-12-98
Показать телефон|Рыбацкая ул., 4|Заказать доставку|Забронировать столик|barbureau.ru|Соцсети:|Чкаловская
480 м
2|Введенская улица
110 м
2|Исправить неточность|Все филиалы сети|Лучшие места на Петроградке|Лучшие бары Санкт-Петербурга|400–600 ₽|Бесплатный Wi-Fi|Оплата картой|Доставка еды, кофе с собой|Кухня: европейская, американская|Цена бокала пива: 250–350 ₽","59.958178,",,30.297507,Бюро - Бургеры и Бар,4.7,184,"Креативное место, возможность поиграть в бургер-конструктор. Домашние сезонные холодные и горячие напитки|Хорошая музыка, персонал в татухах по всему телу, в меню есть бутерброды со сдобной булкой в районе 300-500 рубчиков, наверное вкусные, название там... ещё|Одно из самых любимых мест в Питере! Потрясающий интерьер, идеальный уровень громкости музыки, сама музыка отлично подобрана. Восхитительные... ещё|Очень классное место! Звезду снял за то, что на входе стоит знак Яндекс Еда, а через них я Бюро не нашёл|Остался в некотором недоумении от заведения. Видимо нечто для богатых студентов.)"
20,ул. Рыбацкая 4,"Посмотреть всё меню|Закрыто до 12:00|+7 (812) 922-94-01
Показать телефон|Рыбацкая ул., 4|kwakinn.ru|Соцсети:|Чкаловская
470 м
2|Введенская улица
120 м
2|Исправить неточность|Все филиалы сети|Бесплатный Wi-Fi|Оплата картой|Кухня: европейская, смешанная|Цена бокала пива: 230–300 ₽","59.958178,",,30.297507,КвакИнн,3.7,7,"Домашняя атмосфера, счастье, которое высчитывается литрами вкуснейшего бельгийского пива и не только...кухня и просто место, где можно посидеть с... ещё"
