address,lat,link,lng,name,rating_yandex,review_count,reviews,rating_yandex_norm,review_count_norm,popularity,kitchen, DJ, барная стойка, бесплатная парковка, винная карта, живая музыка, закрытие под банкет, круглосуточная кухня, меню на английском, местоположение у воды, настольные игры, своя пекарня, устричный бар,24_hour,DJ,Restopub Finnegan's приглашает на бизнес ланч,discount_10,discount_15,discount_20,discount_50,discount_7,Завтраки в ресторане МА,Счастливые часы,барная стойка,бесплатная парковка,бранчи,винная карта,детская анимация,живая музыка,закрытие под банкет,круглосуточная кухня,кулинария,кухня_авторская,кухня_азербайджанская,кухня_азиатская,кухня_американская,кухня_английская,кухня_армянская,кухня_белорусская,кухня_веганская,кухня_вегетарианская,кухня_восточная,кухня_греческая,кухня_грузинская,кухня_домашняя,кухня_еврейская,кухня_европейская,кухня_индийская,кухня_индонезийская,кухня_ирландская,кухня_испанская,кухня_итальянская,кухня_кавказская,кухня_китайская,кухня_континентальная,кухня_корейская,кухня_латиноамериканская,кухня_международная,кухня_мексиканская,кухня_морская,кухня_мясная,кухня_национальная,кухня_немецкая,кухня_неткухня_специализации,кухня_паназиатская,кухня_русская,кухня_рыбная,кухня_сербская,кухня_скандинавская,кухня_смешанная,кухня_средиземноморская,кухня_тайская,кухня_узбекская,кухня_украинская,кухня_французская,кухня_фьюжн,кухня_чешская,кухня_шашлык,кухня_японская,меню на английском,местоположение у воды,настольные игры,своя пекарня,танцпол
пр. Луначарского 60,60.041867,,30.34023,Кафе-бар Белые ночи,4.2,28.0,"Забегаловка . Но вечером может быть весело|Хорошая кафешка, рядом с домом, можно перекусить и посидеть неплохо.|Готовят не вкусно|Ребенку понравилось. Мне тоже. Мороженое там вкусное|В хинкали добавили волос. До сих пор трясёт.",0.7894736842105262,0.010364842454394695,0.010442773600668337,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
наб. реки Фонтанки 59,59.927757,,30.332271,White Night Music Joint,4.1,105.0,"Хорошая кухня, адекватные цены, джаз. Но интерьер и рассадка оставляют желать лучшего. Очень душно и жарко!|Шикарное место. Замечательные официанты. Шикарная музыка. Уютные залы. Хорошие цены!!!! Приходите сюда!!!!!|Пошли в этот ресторан с коллегами послушать хорошую музыку (на конкретных артистов шли). С музыкой все прекрасно. Было громковато, в силу... ещё|Вроде бы очень приличное заведение, после ребрендинга было вкусное меню и хорошие бизнес-ланчи, но со временем еда и меню сильно испортились это заметно по... ещё|Заказали столик на субботу вечер 3.08.19, девушка администратор была очень милой, в субботу даже позвонили сообщили,что проблемы с терминалом и просят иметь... ещё",0.7631578947368419,0.04228855721393035,0.04118629908103592,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
наб. реки Фонтанки 59,59.927757,,30.332271,Kiosk59,4.4,69.0,"Ещё одна кофейня, которую нужно посетить любителям кофе, Здесь Вас порадует не только кофе, но и очень красивая глазурованная посуда, из... ещё|Дружелюбная кофейня, где варят вкусный кофе! 
Очень крутое предложение с ""кофе дня""|Супер место. Внезапно забежала перед выездом в Москву, удивилась что так повезло. Вкусный и не подгоревшей кофе, уютно и стильно, чисто, есть всякие... ещё|Отличное место, приятное обслуживание, вкусный кофе 😊 можно прийти со своей кружкой (будет скидка)👍 есть карта лояльности, не так давно добавили в меню... ещё|Очень уютное милое кафе. С приятным разнообразием кофе. Спасло нас при ожидании спектакля в БДТ",0.8421052631578948,0.02736318407960199,0.029406850459482044,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
наб. реки Пряжки 30,59.922792,,30.282002,Французский дворик,2.7,8.0,"Бар-кафе при гостинице КРАСНЫЕ ЗВЕЗДЫ. Вежливые девочки, но конский ценник.",0.39473684210526316,0.0020729684908789387,0.001044277360066834,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
наб. реки Пряжки 30,59.922792,,30.282002,Beer House Staff,4.3,135.0,"Мой отзыв от 12.04.19
""Обслуживание так себе. Очень долгое. 1 час ждал бургеры!!! При том что народу было немного, и это было в воскресенье. 
В... ещё|Шикарное место, красивый интерьер, музыка 5 с плюсом, много интересных штук на стенах, которые можно долго разглядывать. Цены конечно да, но... ещё|Хорошее пиво и вкусные пивные закуски, приятная комфортная обстановка|Отличная кухня, отличное пиво!!! Персанал ультра пупер супер!!! Лайф хак: Скидки до 50% с 12 до 17 и 30% по приложению и картам гостя!!!! Попробуйте местную... ещё|Хоть и та же сеть, но каждый обладает своей атмосферой",0.8157894736842105,0.05472636815920398,0.05697577276524646,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
наб. реки Пряжки 30,59.922792,,30.282002,Le Glamour,4.3,60.0,"Благодарим ресторан Le Glamour за прекрасную организацию банкета нашей свадьбы. Обслуживание было на высшем уровне! Еда вкусная, официанты... ещё|Большое спасибо ресторану Гламур за наш свадебный банкет, проведённый в зале Лофт. Не буду расписывать подробно их красивый, огромный и светлый зал... ещё|место для банкетов|Уже десять лет празднуем там встречи с одноклассниками. Всегда все на высшем уровне! Рекомендую всем.|Хотим выразить огромную благодарность менеджеру ресторана Le Glamour Елене за организацию нашего свадебного торжества 24 июля. Начиная от выбора... ещё",0.8157894736842105,0.0236318407960199,0.024603174603174606,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
наб. реки Пряжки 30,59.922792,,30.282002,Made In China,4.3,224.0,"Уютный ресторан в азиатском стиле.

Заведение двухэтажное, так что мест для посадки с достатком. Конечно, это компенсируется местоположением в... ещё|не понимаю, почему раньше было не прорваться, а теперь вечером субботы 3 стола. Качество блюд особо не изменилось, многие хиты на месте также. Интерьер... ещё|Был в субботу на позднем завтраке, сырники бомбические просто, таких вкусных я давно не ел.|Зашла сегодня на завтрак. яйцо на тосте с авокадо, сырники, чай, все очень вкусно, приветливый персонал. 
рекомендую|Место всегда с людьми, тусыч. По еде такая причесанная паназия. Кухня меняется. По мне все несколько упростилось со времен открытия.",0.8157894736842105,0.0916252072968491,0.09539125591757174,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ул. Разъезжая 3,59.925606,,30.343231,Laudes,3.8,4.0,"Непонятное заведение которым владеет эфиоп. За 2 года после ремонта было 3-4 мероприятия и все. Вечером постоянно присутствует администратор, но ни... ещё|Был в этом новом зале на свадьбе друга. Прикольный зал с хорошим свежим ремонтом. Прям такой праздничный. Если б нас на свадьбе было не так много гостей... ещё",0.6842105263157894,0.0004145936981757878,0.00036201615148983576,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ул. Разъезжая 3,59.925606,,30.343231,Brewmen & Redman's Kitchen,4.3,21.0,"К сожалению, стейк был очень жестким, брала прожарку медиум. Некоторых позиций из меню не было. Разливное пиво вкусное. Возможно, вернёмся, чтобы... ещё|очень много холодного крафта на кранах!|Вкусная еда с ресторанной подачей, свое пиво. По четвергам вечером можно попрактиковаться в разговорном английском с носителем.|Меню не очень обширно в еде. Пиво однообразное. Интерьер отличный|Лучшее пиво. Особенно пиво ножеманов Найфер",0.8157894736842105,0.00746268656716418,0.007769423558897244,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ул. Большая Конюшенная 2,59.939555,,30.32433,Пицца 22 сантиметра,4.4,411.0,"Пицца на 3+. Подгорелая снизу корочка не понравилось вообще. Заказали салат с рукколой, он был вкусный(5 баллов). Пицца не стоит своих денег. Принесли все... ещё|Зашли с мужем, оба в восторге! Пицца Дьяволо со свежим халапеньо и Пепперони - обе выше всяких похвал! Свежие, сочные, вкусные! Обязательно придём ещё|Цены завышены, обслуживание отличается отсутствием элементарных начал вежливости и внимания. Изначально как то не задалось с размещением, официант... ещё|уникальное место с очень вкусной и необычной пиццей|Пицца отличная, готовят быстро, обслуживание отвратительное-не понравилась работа официанток, или им пофигу или просто устали к концу дня... ещё",0.8421052631578948,0.1691542288557214,0.18178780284043447,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
